Instance: BLAZ1,,
Generation,Optiomal Value,Time
1, 8, 978 milliseconds
2, 8, 665 milliseconds
3, 8, 640 milliseconds
4, 8, 667 milliseconds
5, 8, 688 milliseconds
6, 8, 707 milliseconds
7, 8, 723 milliseconds
8, 8, 666 milliseconds
9, 8, 732 milliseconds
10, 8, 705 milliseconds
11, 8, 786 milliseconds
12, 8, 675 milliseconds
13, 8, 678 milliseconds
14, 8, 693 milliseconds
15, 8, 668 milliseconds
16, 8, 659 milliseconds
17, 8, 666 milliseconds
18, 8, 865 milliseconds
19, 8, 710 milliseconds
20, 8, 637 milliseconds
21, 8, 647 milliseconds
22, 8, 759 milliseconds
23, 8, 717 milliseconds
24, 8, 739 milliseconds
25, 8, 716 milliseconds
26, 8, 656 milliseconds
27, 8, 671 milliseconds
28, 8, 675 milliseconds
29, 8, 723 milliseconds
30, 8, 730 milliseconds
31, 8, 714 milliseconds
32, 8, 832 milliseconds
33, 8, 715 milliseconds
34, 8, 849 milliseconds
35, 8, 702 milliseconds
36, 8, 687 milliseconds
37, 8, 649 milliseconds
38, 8, 690 milliseconds
39, 8, 667 milliseconds
40, 8, 700 milliseconds
41, 8, 678 milliseconds
42, 8, 687 milliseconds
43, 8, 707 milliseconds
44, 8, 680 milliseconds
45, 8, 653 milliseconds
46, 8, 709 milliseconds
47, 8, 673 milliseconds
48, 8, 701 milliseconds
49, 8, 686 milliseconds
50, 8, 699 milliseconds
51, 8, 657 milliseconds
52, 8, 704 milliseconds
53, 8, 690 milliseconds
54, 8, 664 milliseconds
55, 8, 622 milliseconds
56, 8, 690 milliseconds
57, 8, 681 milliseconds
58, 8, 673 milliseconds
59, 8, 685 milliseconds
60, 8, 661 milliseconds
61, 8, 682 milliseconds
62, 8, 703 milliseconds
63, 8, 692 milliseconds
64, 8, 667 milliseconds
65, 8, 655 milliseconds
66, 8, 641 milliseconds
67, 8, 714 milliseconds
68, 8, 738 milliseconds
69, 8, 720 milliseconds
70, 8, 707 milliseconds
71, 8, 738 milliseconds
72, 8, 674 milliseconds
73, 8, 808 milliseconds
74, 8, 714 milliseconds
75, 8, 658 milliseconds
76, 8, 656 milliseconds
77, 8, 669 milliseconds
78, 8, 729 milliseconds
79, 8, 687 milliseconds
80, 8, 705 milliseconds
81, 8, 684 milliseconds
82, 8, 667 milliseconds
83, 8, 677 milliseconds
84, 8, 735 milliseconds
85, 8, 717 milliseconds
86, 8, 662 milliseconds
87, 8, 723 milliseconds
88, 8, 854 milliseconds
89, 8, 665 milliseconds
90, 8, 671 milliseconds
91, 8, 668 milliseconds
92, 8, 649 milliseconds
93, 8, 653 milliseconds
94, 8, 695 milliseconds
95, 8, 693 milliseconds
96, 8, 690 milliseconds
97, 8, 682 milliseconds
98, 8, 740 milliseconds
99, 8, 658 milliseconds
100, 8, 670 milliseconds
101, 8, 712 milliseconds
102, 8, 743 milliseconds
103, 8, 697 milliseconds
104, 8, 683 milliseconds
105, 8, 660 milliseconds
106, 8, 730 milliseconds
107, 8, 697 milliseconds
108, 8, 689 milliseconds
109, 8, 702 milliseconds
110, 8, 688 milliseconds
111, 8, 659 milliseconds
112, 8, 700 milliseconds
113, 8, 712 milliseconds
114, 8, 733 milliseconds
115, 8, 646 milliseconds
116, 8, 696 milliseconds
117, 8, 674 milliseconds
118, 8, 647 milliseconds
119, 8, 648 milliseconds
120, 8, 672 milliseconds
121, 8, 674 milliseconds
122, 8, 652 milliseconds
123, 8, 678 milliseconds
124, 8, 694 milliseconds
125, 8, 719 milliseconds
126, 8, 659 milliseconds
127, 8, 750 milliseconds
128, 8, 717 milliseconds
129, 8, 639 milliseconds
130, 8, 695 milliseconds
131, 8, 650 milliseconds
132, 8, 690 milliseconds
133, 8, 666 milliseconds
134, 8, 611 milliseconds
135, 8, 713 milliseconds
136, 8, 695 milliseconds
137, 8, 637 milliseconds
138, 8, 669 milliseconds
139, 8, 655 milliseconds
140, 8, 685 milliseconds
141, 8, 707 milliseconds
142, 8, 730 milliseconds
143, 8, 687 milliseconds
144, 8, 766 milliseconds
145, 8, 690 milliseconds
146, 8, 690 milliseconds
147, 8, 730 milliseconds
148, 8, 674 milliseconds
149, 8, 698 milliseconds
150, 8, 663 milliseconds
151, 8, 697 milliseconds
