Instance: SHAPES7,,
Generation,Optiomal Value,Time
1, 46, 92665 milliseconds
2, 46, 89381 milliseconds
3, 45, 92297 milliseconds
4, 45, 89699 milliseconds
5, 44, 90431 milliseconds
6, 44, 97332 milliseconds
7, 44, 92009 milliseconds
8, 44, 92215 milliseconds
9, 44, 93820 milliseconds
10, 44, 94590 milliseconds
11, 44, 95705 milliseconds
12, 44, 93089 milliseconds
13, 44, 89865 milliseconds
14, 44, 89721 milliseconds
15, 44, 90936 milliseconds
16, 44, 94530 milliseconds
17, 44, 92963 milliseconds
18, 44, 91240 milliseconds
19, 44, 91922 milliseconds
20, 44, 92808 milliseconds
21, 44, 91640 milliseconds
22, 44, 89994 milliseconds
23, 44, 88526 milliseconds
24, 44, 90514 milliseconds
25, 44, 91652 milliseconds
26, 44, 93086 milliseconds
27, 44, 90829 milliseconds
28, 44, 88817 milliseconds
29, 44, 90498 milliseconds
30, 44, 95043 milliseconds
31, 44, 96332 milliseconds
32, 44, 94316 milliseconds
33, 44, 94719 milliseconds
34, 44, 95869 milliseconds
35, 44, 100634 milliseconds
36, 44, 101350 milliseconds
37, 44, 99458 milliseconds
38, 44, 95253 milliseconds
39, 44, 95716 milliseconds
40, 44, 95319 milliseconds
41, 44, 94146 milliseconds
42, 44, 89414 milliseconds
43, 44, 90319 milliseconds
44, 44, 91854 milliseconds
45, 44, 92589 milliseconds
46, 44, 92160 milliseconds
47, 44, 88689 milliseconds
48, 44, 92095 milliseconds
49, 44, 92288 milliseconds
50, 44, 93480 milliseconds
51, 44, 94860 milliseconds
52, 44, 89221 milliseconds
53, 44, 88927 milliseconds
54, 44, 92473 milliseconds
55, 44, 95297 milliseconds
56, 44, 94135 milliseconds
57, 44, 91108 milliseconds
58, 44, 91916 milliseconds
59, 44, 92765 milliseconds
60, 44, 94815 milliseconds
61, 44, 96776 milliseconds
62, 44, 91228 milliseconds
63, 44, 91901 milliseconds
64, 44, 91078 milliseconds
65, 44, 95104 milliseconds
66, 44, 97917 milliseconds
67, 44, 92482 milliseconds
68, 44, 92570 milliseconds
69, 44, 91018 milliseconds
70, 44, 92912 milliseconds
71, 44, 89136 milliseconds
72, 44, 88572 milliseconds
73, 44, 90124 milliseconds
74, 44, 90664 milliseconds
75, 44, 92400 milliseconds
76, 44, 88477 milliseconds
77, 44, 88662 milliseconds
78, 44, 89546 milliseconds
79, 44, 93977 milliseconds
80, 44, 97198 milliseconds
81, 44, 89021 milliseconds
82, 44, 90528 milliseconds
83, 44, 90270 milliseconds
84, 44, 91025 milliseconds
85, 44, 91480 milliseconds
86, 44, 91093 milliseconds
87, 44, 92213 milliseconds
88, 44, 96026 milliseconds
89, 44, 98412 milliseconds
90, 44, 90076 milliseconds
91, 44, 87698 milliseconds
92, 44, 90098 milliseconds
93, 44, 90860 milliseconds
94, 44, 91699 milliseconds
95, 44, 88419 milliseconds
96, 44, 93210 milliseconds
97, 44, 92557 milliseconds
98, 44, 95782 milliseconds
99, 44, 94375 milliseconds
100, 44, 90124 milliseconds
101, 44, 89695 milliseconds
102, 44, 90137 milliseconds
103, 44, 91827 milliseconds
104, 44, 89937 milliseconds
105, 44, 88133 milliseconds
106, 44, 91073 milliseconds
107, 44, 92757 milliseconds
108, 44, 96505 milliseconds
109, 43, 94893 milliseconds
110, 43, 90139 milliseconds
111, 43, 90317 milliseconds
112, 43, 90956 milliseconds
113, 43, 92382 milliseconds
114, 41, 88762 milliseconds
115, 41, 90006 milliseconds
116, 41, 89525 milliseconds
117, 41, 91088 milliseconds
118, 41, 91132 milliseconds
119, 41, 88271 milliseconds
120, 41, 88646 milliseconds
121, 41, 90377 milliseconds
122, 41, 91336 milliseconds
123, 41, 90434 milliseconds
124, 41, 90210 milliseconds
125, 41, 91501 milliseconds
126, 41, 93064 milliseconds
127, 41, 94556 milliseconds
128, 41, 96072 milliseconds
129, 41, 91643 milliseconds
130, 41, 92375 milliseconds
131, 41, 91391 milliseconds
132, 41, 92453 milliseconds
133, 41, 88313 milliseconds
134, 41, 89290 milliseconds
135, 41, 93011 milliseconds
136, 41, 95220 milliseconds
137, 41, 96182 milliseconds
138, 41, 89741 milliseconds
139, 41, 91828 milliseconds
140, 41, 91076 milliseconds
141, 41, 92469 milliseconds
142, 41, 92974 milliseconds
143, 41, 91018 milliseconds
144, 41, 91947 milliseconds
145, 41, 93541 milliseconds
146, 41, 93897 milliseconds
147, 41, 91409 milliseconds
148, 41, 89946 milliseconds
149, 41, 90041 milliseconds
150, 41, 91110 milliseconds
151, 41, 92122 milliseconds
152, 41, 88119 milliseconds
153, 41, 88804 milliseconds
154, 41, 89674 milliseconds
155, 41, 91469 milliseconds
156, 41, 90160 milliseconds
157, 41, 89851 milliseconds
158, 41, 90502 milliseconds
159, 41, 91145 milliseconds
160, 41, 94037 milliseconds
161, 41, 90008 milliseconds
162, 41, 87994 milliseconds
163, 41, 92367 milliseconds
164, 41, 90845 milliseconds
165, 41, 91214 milliseconds
166, 41, 88822 milliseconds
167, 41, 90308 milliseconds
168, 41, 91156 milliseconds
169, 41, 92307 milliseconds
170, 41, 89045 milliseconds
171, 41, 89334 milliseconds
172, 41, 92439 milliseconds
173, 41, 92872 milliseconds
174, 41, 92383 milliseconds
175, 41, 87268 milliseconds
176, 41, 89250 milliseconds
177, 41, 89595 milliseconds
178, 41, 90737 milliseconds
179, 41, 90601 milliseconds
180, 41, 88487 milliseconds
181, 41, 88980 milliseconds
182, 41, 90423 milliseconds
183, 41, 92532 milliseconds
184, 41, 90575 milliseconds
185, 41, 91127 milliseconds
186, 41, 91174 milliseconds
187, 41, 95670 milliseconds
188, 41, 92147 milliseconds
189, 41, 87116 milliseconds
190, 41, 90369 milliseconds
191, 41, 96837 milliseconds
192, 41, 95861 milliseconds
193, 41, 94616 milliseconds
194, 41, 95746 milliseconds
195, 41, 91320 milliseconds
196, 41, 93286 milliseconds
197, 41, 94814 milliseconds
198, 41, 90747 milliseconds
199, 41, 91639 milliseconds
200, 41, 92759 milliseconds
201, 41, 94196 milliseconds
202, 41, 93338 milliseconds
203, 41, 90704 milliseconds
204, 41, 92827 milliseconds
205, 41, 90960 milliseconds
206, 41, 94830 milliseconds
207, 41, 96768 milliseconds
208, 41, 93375 milliseconds
209, 41, 92727 milliseconds
210, 41, 96033 milliseconds
211, 41, 93877 milliseconds
212, 41, 91122 milliseconds
213, 41, 91618 milliseconds
214, 41, 92446 milliseconds
215, 41, 93521 milliseconds
216, 41, 92928 milliseconds
217, 41, 90622 milliseconds
218, 41, 91244 milliseconds
219, 41, 92531 milliseconds
220, 41, 92137 milliseconds
221, 41, 88313 milliseconds
222, 41, 88939 milliseconds
223, 41, 90149 milliseconds
224, 41, 91876 milliseconds
225, 41, 91630 milliseconds
226, 41, 89563 milliseconds
227, 41, 90991 milliseconds
228, 41, 91844 milliseconds
229, 41, 94284 milliseconds
230, 41, 93929 milliseconds
231, 41, 96101 milliseconds
232, 41, 96262 milliseconds
233, 41, 96157 milliseconds
234, 41, 96409 milliseconds
235, 41, 90888 milliseconds
236, 41, 92298 milliseconds
237, 41, 93177 milliseconds
238, 41, 93330 milliseconds
239, 41, 95186 milliseconds
240, 41, 88817 milliseconds
241, 41, 89082 milliseconds
242, 41, 89902 milliseconds
243, 41, 92354 milliseconds
244, 41, 88922 milliseconds
245, 41, 88037 milliseconds
246, 41, 89037 milliseconds
247, 41, 92263 milliseconds
248, 41, 91906 milliseconds
249, 41, 89155 milliseconds
250, 41, 88945 milliseconds
251, 41, 89644 milliseconds
252, 41, 91474 milliseconds
253, 41, 94325 milliseconds
254, 41, 91296 milliseconds
255, 41, 91048 milliseconds
256, 41, 92854 milliseconds
257, 41, 94959 milliseconds
258, 41, 90149 milliseconds
259, 41, 92424 milliseconds
260, 41, 92759 milliseconds
261, 41, 94327 milliseconds
262, 41, 93030 milliseconds
263, 41, 94629 milliseconds
264, 41, 90930 milliseconds
265, 41, 91167 milliseconds
